Alegría-Dulantzi;171;araba
Amurrio;721;araba
Aramaio;14;araba
Artziniega;92;araba
Armiñón;7;araba
Arrazua-Ubarrundia;33;araba
Asparrena;84;araba
Ayala/Aiara;116;araba
Baños de Ebro/Mañueta;9;araba
Barrundia;27;araba
Berantevilla;20;araba
Bernedo;22;araba
Campezo/Kanpezu;53;araba
Zigoitia;34;araba
Kripan;4;araba
Kuartango;12;araba
Elburgo/Burgelu;14;araba
Elciego;56;araba
Elvillar/Bilar;9;araba
Iruraiz-Gauna;12;araba
Labastida;111;araba
Lagrán;6;araba
Laguardia;65;araba
Lanciego/Lantziego;44;araba
Lapuebla de Labarca;51;araba
Leza;4;araba
Llodio;1232;araba
Arraia-Maeztu;27;araba
Moreda de Alava;12;araba
Navaridas;6;araba
Okondo;68;araba
Oyón-Oion;344;araba
Peñacerrada-Urizaharra;5;araba
Ribera Alta;31;araba
Ribera Baja/Erribera Beitia;69;araba
Salinas de Añana;8;araba
Salvatierra/Agurain;359;araba
Samaniego;4;araba
San Millán/Donemiliaga;30;araba
Urkabustaiz;56;araba
Valdegovía;38;araba
Harana/Valle de Arana;4;araba
Villabuena de Alava/Eskuernaga;9;araba
Legutiano;92;araba
Vitoria-Gasteiz;16454;araba
Yécora;8;araba
Zalduondo;7;araba
Zambrana;30;araba
Zuia;58;araba
Iruña Oka/Iruña de Oca;165;araba
Lantarón;32;araba
Abaltzisketa;9;gipuzkoa
Aduna;9;gipuzkoa
Aizarnazabal;48;gipuzkoa
Albiztur;4;gipuzkoa
Alegia;100;gipuzkoa
Alkiza;11;gipuzkoa
Altzo;11;gipuzkoa
Amezketa;40;gipuzkoa
Andoain;700;gipuzkoa
Anoeta;94;gipuzkoa
Antzuola;49;gipuzkoa
Arama;8;gipuzkoa
Aretxabaleta;259;gipuzkoa
Asteasu;42;gipuzkoa
Ataun;38;gipuzkoa
Aia;72;gipuzkoa
Azkoitia;569;gipuzkoa
Azpeitia;625;gipuzkoa
Beasain;551;gipuzkoa
Beizama;5;gipuzkoa
Belauntza;8;gipuzkoa
Berastegi;34;gipuzkoa
Berrobi;30;gipuzkoa
Bidegoyan;12;gipuzkoa
Zegama;60;gipuzkoa
Zerain;7;gipuzkoa
Zestoa;190;gipuzkoa
Zizurkil;140;gipuzkoa
Deba;213;gipuzkoa
Eibar;1722;gipuzkoa
Elduain;4;gipuzkoa
Elgoibar;519;gipuzkoa
Elgeta;39;gipuzkoa
Eskoriatza;143;gipuzkoa
Ezkio-Itsaso;19;gipuzkoa
Hondarribia;668;gipuzkoa
Gaintza;2;gipuzkoa
Gabiria;14;gipuzkoa
Getaria;84;gipuzkoa
Hernani;965;gipuzkoa
Hernialde;19;gipuzkoa
Ibarra;245;gipuzkoa
Idiazabal;57;gipuzkoa
Ikaztegieta;22;gipuzkoa
Irun;3657;gipuzkoa
Irura;91;gipuzkoa
Itsasondo;22;gipuzkoa
Larraul;13;gipuzkoa
Lazkao;166;gipuzkoa
Leaburu;22;gipuzkoa
Legazpi;310;gipuzkoa
Legorreta;57;gipuzkoa
Lezo;274;gipuzkoa
Lizartza;34;gipuzkoa
Arrasate/Mondragón;1166;gipuzkoa
Mutriku;209;gipuzkoa
Mutiloa;4;gipuzkoa
Olaberria;38;gipuzkoa
Oñati;319;gipuzkoa
Orexa;1;gipuzkoa
Orio;247;gipuzkoa
Ormaiztegi;56;gipuzkoa
Oiartzun;394;gipuzkoa
Pasaia;1010;gipuzkoa
Soraluze-Placencia de las Armas;273;gipuzkoa
Errezil;24;gipuzkoa
Rentería;2174;gipuzkoa
Leintz-Gatzaga;4;gipuzkoa
Donostia-San Sebastián;8532;gipuzkoa
Segura;46;gipuzkoa
Tolosa;926;gipuzkoa
Urnieta;245;gipuzkoa
Usurbil;258;gipuzkoa
Bergara;604;gipuzkoa
Villabona;326;gipuzkoa
Ordizia;447;gipuzkoa
Urretxu;284;gipuzkoa
Zaldibia;59;gipuzkoa
Zarautz;964;gipuzkoa
Zumarraga;557;gipuzkoa
Zumaia;454;gipuzkoa
Mendaro;95;gipuzkoa
Lasarte-Oria;910;gipuzkoa
Astigarraga;239;gipuzkoa
Baliarrain;3;gipuzkoa
Orendain;2;gipuzkoa
Altzaga;4;gipuzkoa
Gaztelu;2;gipuzkoa
Abadiño;343;bizkaia
Abanto y Ciérvana-Abanto Zierbena;753;bizkaia
Amorebieta-Etxano;825;bizkaia
Amoroto;11;bizkaia
Arakaldo;7;bizkaia
Arantzazu;14;bizkaia
