RAY;Taylor Hackford;2004
Papillon;Franklin J. Schaffner;1973
Los padres de él;Jay Roach;2004
Hotel Rwanda;Terry George;2004
Entre copas (Sideways);Alexander Payne;2005
ATERRIZA COMO PUEDAS;Jim Abrahams;1980
EL ANALFABETO;Cantinflas;1960
EL BARRENDERO;Cantinflas;
EL BOMBERO ATOMICO;Cantinflas;1950
EL CENICIENTO;Cantinflas;
EL CONSERJE;Cantinflas;
EL PADRECITO;Cantinflas;
El hundimiento;Oliver Hirschbiegel;2004
Bajo el sol de la Toscana;Audrey Wells;2003
Los chicos del coro;Christophe Barratier;2004
El Profesor chiflado;Jerry Lewis;1963
EL AVIADOR;Martin Scorsese;2004
Collateral (2004) ;Michael Mann;2004
SAW;James Wan;2004
Senderos de gloria  [1957];Stanley Kubrick;1957
La naranja mecánica  [1971];Stanley Kubrick;1971
La chaqueta metálica  [1987];Stanley Kubrick;1987
Barry Lyndon  [1975];Stanley Kubrick;1975
TORRENTE 1 y 2;Santiago Segura;
ALEX DE LA IGLESIA;;
Cowboy de medianoche (1969);John Schlesinger;1969
Pulp Fiction;Quentin Tarantino;1994
La ley del silencio;Elia Kazan;1954
Reservoir Dogs;Quentin Tarantino;1992
La milla verde (The Green Mile);Frank Darabont;1999
Huracán Carter;Norman Jewison;1999
Asalto al distrito 13;Jean-François Richet;2005
El mensajero del miedo;Jonathan Demme;2004
Sospechosos habituales;Bryan Singer;1995
La noche del cazador;Charles Laughton;1955
La jungla de asfalto;John Huston;1950
Coffee and Cigarettes;Jim Jarmusch;2003
El crepúsculo de los dioses  [1950];Billy Wilder;1950
Perdición;Billy Wilder;1944
El gran Lebowski;Joel Coen;1998
Muerte entre las flores;Joel Coen;1990
El padrino III  [1990]  /NO APARECE);Francis Ford Coppola;1990
EL HIJO DE ROSTRO PALIDO;;1948
El maquinista (The Machinist);Brad Anderson;2003
Primera plana;Billy Wilder;1974
El cazador;Michael Cimino;1978
Los fantasmas atacan al jefe;Richard Donner;1988
Melinda y Melinda;Woody Allen;2004
Uno de los nuestros;Martin Scorsese;1990
Salvar al soldado Ryan;Steven Spielberg;1998
El juicio de Nuremberg (¿Vencedores o vencidos?);Stanley Kramer;1961
Ocean's Eleven (Hagan Juego);Steven Soderbergh;2001
La última primavera;Charles Dance;2004
El informe Pelicano;Alan J. Pakula;1993
J.F.K.: caso abierto (JFK: caso abierto);Oliver Stone;1991
Arsénico por compasión  [1944];Frank Capra;1944
La escopeta nacional  [1978];Luis García Berlanga;1978
Tiempos modernos  [1936];Charles Chaplin;1936
1984 - H. ORWELL;Michael Radford;1984
Todos los hombres del presidente;Alan J. Pakula;1976
Lost in Translation;Sofia Coppola;2003
El expreso de medianoche;Alan Parker;1978
TAPAS;José Corbacho, Juan Cruz;2005
Ejecutivo agresivo;Peter Segal;2003
El dormilón (1973);Woody Allen;1973
MADAGASCAR;Eric Darnell;2005
Lost in Translation;Sofia Coppola;2003
La pasión de Cristo;Mel Gibson;2004
El nombre de la rosa;Jean-Jacques Annaud;1986
Diario de un skin (TV);Jacobo Rispa;2005
Tiovivo C. 1950;José Luis Garci;2004
Cayo Largo;John Huston;1948
Apolo XIII;Ron Howard;1995
Padre Coraje (TV);Benito Zambrano;2002
AUSTIN POWERS LA ESPIA QUE ME ACHU;Jay Roach;1999
AUSTIN POWERS MISTERIOSO AGENTE INT;Jay Roach;1997
Sin City (Ciudad del pecado);Quentin Tarantino;2005
El loco del pelo rojo  [1956];Vincente Minnelli;1956
Brigada 21  [1951];William Wyler;1951
Cumbres borrascosas (1939)  ;William Wyler;1939
Código 46 (Code 46);Michael Winterbottom;2003
THE BLUES BROTHERS-GRANUJAS TODO R;John Landis;1980
LA ISLA;Michael Bay;2005
Charlie y la fábrica de chocolate;Tim Burton;2005
La vaquilla  [1985];Luis García Berlanga;1985
Perros de paja;Sam Peckinpah;1971
Moros y cristianos  [1987];Luis García Berlanga;1987
Chocolat;Lasse Hallström;2000
Rain Man;Barry Levinson;1988
Calabuch;Luis García Berlanga;1956
Trainspotting;Danny Boyle;1996
Taxi driver;Martin Scorsese;1976
Seven (Se7en);David Fincher;1995
Una historia del Bronx (A Bronx Tale);Robert De Niro;1993
La tierra de los muertos vivientes;George A. Romero;2005
HAROLD LLOID;;
Los fantasmas atacan al jefe;Richard Donner;1988
RAY;Taylor Hackford;2004
HABANA BLUES  ;Benito Zambrano;2005
EL MARIACHI;Robert Rodriguez;1992
Cinderella Man: El hombre que no se dejó tumbar;Ron Howard;2005
Asesinos natos  [1994];Oliver Stone;1994
RAY;Taylor Hackford;2004
SERPICO;Sidney Lumet;1973
SERPICO;Sidney Lumet;1973
THIRTEEN;Catherine Hardwicke;2003
Felices dieciséis (Sweet Sixteen);Ken Loach;2002
COSAS QUE HACEN QUE LA VIDA VALGA;Manuel Gómez Pereira;2004
21 gramos  [2003];Alejandro Gonzalez Inarritu;2003
Mystic River  [2003];Clint Eastwood;2003
Primer;Shane Carruth;2004
Bloody Sunday (Domingo sangriento);Paul Greengrass;2002
BLACK HAWK DERRIBADO;Ridley Scott;2001
El diario de Noa;Nick Cassavetes;2004
Ser o no ser;Ersnt Lubitsch;1942
Sed de mal  [1958];Orson Welles;1958
Las uvas-de-la-ira-(1940);John Ford;1940
El honrado gremio del robo;Cliff Owen;1963
Las aventuras de Jeremías Johnson;Sydney Pollack;1972
DAVID BLAINE - TRUCOS MAGO;;
